"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
updrs_total,updrs_part_iii_motor_examination,,text,"UPDRS Part III: Motor Examination Total Score",,,integer,0,124,,,,,,,,
updrs_brady,updrs_part_iii_motor_examination,,text,"UPDRS Bradykinesia Score (18, 19, 23a-26b, 31)",,,integer,,,,,,,,,,
updrs_tremor,updrs_part_iii_motor_examination,,text,"UPDRS Tremor Score (20a-21b)",,,integer,,,,,,,,,,
updrs_rigidity,updrs_part_iii_motor_examination,,text,"UPDRS Rigidity Score (22a-22e)",,,integer,,,,,,,,,,
updrs_posture,updrs_part_iii_motor_examination,,text,"UPDRS Postural Score (27-30)",,,integer,,,,,,,,,,
updrs_32,updrs_part_iii_motor_examination,,radio,"32. Dyskinesia duration","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_33,updrs_part_iii_motor_examination,,radio,"33. Dyskinesia disability","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_34,updrs_part_iii_motor_examination,,radio,"34. Dyskinesia pain","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_35,updrs_part_iii_motor_examination,,yesno,"35. Early morning dystonia",,,,,,,,,,,,,
updrs_36,updrs_part_iii_motor_examination,,yesno,"36. Predictable off?",,,,,,,,,,,,,
updrs_37,updrs_part_iii_motor_examination,,yesno,"37. Unpredictable off?",,,,,,,,,,,,,
uprds_38,updrs_part_iii_motor_examination,,yesno,"38. Sudden off?",,,,,,,,,,,,,
updrs_39,updrs_part_iii_motor_examination,,radio,"39. Proportion off?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_40,updrs_part_iii_motor_examination,,yesno,"40. Anorexia, nausea, or vomiting?",,,,,,,,,,,,,
uprds_41,updrs_part_iii_motor_examination,,yesno,"41. Sleep disturbances?",,,,,,,,,,,,,
uprds_42,updrs_part_iii_motor_examination,,yesno,"42. Orthostasis?",,,,,,,,,,,,,
uprds_itoiv_score,updrs_part_iii_motor_examination,,text,"UPDRS Part I-IV Total Score",,,integer,,,,,,,,,,
peg_time_dom,grooved_pegboard_test,,text,"1. Time to fill board in seconds (Dominant Hand)",,,number,,,,,,,,,,
peg_drops_dom,grooved_pegboard_test,,text,"2. Number of drops (Dominant Hand)",,,number,,,,,,,,,,
peg_number_dom,grooved_pegboard_test,,text,"3. Number of pegs (Dominant Hand)",,,number,,,,,,,,,,
peg_total_dom,grooved_pegboard_test,,calc,"4. Dominant hand total score",[peg_time_dom]+[peg_drops_dom]+[peg_number_dom],,,,,,,,,,,,
peg_time_nondom,grooved_pegboard_test,,text,"5. Time to fill board in seconds (Non-dominant Hand) ",,,number,,,,,,,,,,
peg_drops_nondom,grooved_pegboard_test,,text,"6. Number of drops (Non-dominant Hand)",,,number,,,,,,,,,,
peg_number_nondom,grooved_pegboard_test,,text,"7. Number of pegs (Non-dominant Hand)",,,number,,,,,,,,,,
peg_total_nondom,grooved_pegboard_test,,calc,"8. Non-dominant hand total score",[peg_time_nondom]+[peg_drops_nondom]+[peg_number_nondom],,,,,,,,,,,,
moca_1,moca,,radio,"Executive: Trail making (1 point)","0, 0 points | 1, 1 point",,,,,,,,,,,,
moca_2,moca,,radio,"Executive: Copy cube (1 point)","0, 0 points | 1, 1 point",,,,,,,,,,,,
moca_3,moca,,radio,"Executive: Clock draw (ten past eleven) - one point for contour, one point for numbers, one point for hands (3 points)","0, 0 points | 1, 1 point | 2, 2 points | 3, 3 points",,,,,,,,,,,,
moca_4,moca,,radio,"Naming: Animals (3 points)","0, 0 points | 1, 1 point | 2, 2 points | 3, 3 points",,,,,,,,,,,,
moca_5,moca,,radio,"Attention Digits Forward and Backward (2 points)","0, 0 points | 1, 1 point | 2, 2 points",,,,,,,,,,,,
moca_6,moca,,radio,"Attention: List of letters (1 point)","0, 0 points | 1, 1 point","No points if 2+ errors",,,,,,,,,,,
moca_7,moca,,radio,"Attention: Serial 7s (3 points)","0, 0 points (0 correct) | 1, 1 point (1 correct) | 2, 2 points (2 or 3 correct) | 3, 3 points (4 or 5 correct)",,,,,,,,,,,,
moca_8,moca,,radio,"Language: Sentence repetition (2 points)","0, 0 points | 1, 1 point | 2, 2 points",,,,,,,,,,,,
moca_9,moca,,radio,"Language: Letter fluency (1 point)","0, 0 points | 1, 1 point (11+ words in one minute)",,,,,,,,,,,,
moca_letterfluency,moca,,text,"Language: Letter fluency - Total Number of Words ",,,number,0,50,,,,,,,,
moca_10,moca,,radio,"Abstraction (2 points)","0, 0 points | 1, 1 point | 2, 2 points",,,,,,,,,,,,
moca_11,moca,,radio,"Memory: Delayed Recall (5 points - uncued recall only)","0, 0 points | 1, 1 point | 2, 2 points | 3, 3 points | 4, 4 points | 5, 5 points","Points for uncued recall only",,,,,,,,,,,
moca_12,moca,,radio,"Orientation (6 points)","0, 0 points | 1, 1 point | 2, 2 points | 3, 3 points | 4, 4 points | 5, 5 points | 6, 6 points",,,,,,,,,,,,
moca_13,moca,,radio,"Level of education correction (add 1 point if less than or equal to 12 years of education)","0, 0 points | 1, 1 point",,,,,,,,,,,,
moca_total,moca,"Scoring: Add total points and enter below.",text,"Total out of 30",,,number,0,30,,,,,,,,
moca2_13,moca,,notes,Notes:,,,,,,,,,,,,,
drs2_att_total,drs2,,text,"ATT Total Raw Score",,,,,,,,,,,,,
drs2attamss,drs2,,text,"ATT AMSS",,,,,,,,,,,,,
drsattrange,drs2,,text,"ATT Percentile Range",,,,,,,,,,,,,
drs2_ip_total,drs2,,text,"I/P Total Raw Score",,,,,,,,,,,,,
drsipamss,drs2,,text,"I/P AMSS",,,,,,,,,,,,,
drsiprange,drs2,,text,"I/P Percentile Range",,,,,,,,,,,,,
drs2_const_total,drs2,,text,"CONST Raw Score",,,number,0,6,,,,,,,,
drsconstamss,drs2,,text,"CONST AMSS",,,,,,,,,,,,,
drsconstrange,drs2,,text,"CONST Percentile Range",,,,,,,,,,,,,
drs2_concept_total,drs2,,text,"CONCEPT Raw Score",,,number,0,39,,,,,,,,
drsconcamss,drs2,,text,"CONCEPT AMSS",,,,,,,,,,,,,
drsconcrange,drs2,,text,"CONCEPT Percentile Range",,,,,,,,,,,,,
drs2_mem_total,drs2,,text,"MEM Total Raw Score",,,,,,,,,,,,,
drsmemamss,drs2,,text,"MEM AMSS",,,,,,,,,,,,,
drsmemrange,drs2,,text,"MEM Percentile Range",,,,,,,,,,,,,
drs2_grandtotal,drs2,,text,"Total DRS Raw Score",,,,,,,,,,,,,
drstotamss,drs2,,text,"Total AMSS",,,,,,,,,,,,,
drstotrange,drs2,,text,"Total Percentile Range",,,,,,,,,,,,,
drsaemss,drs2,,text,AEMSS,,,,,,,,,,,,,
hads_1a,hads,"Patients are asked to choose one response from the four given for each interview. They should give an immediate response and be dissuaded from thinking too long about their answers. The questions relating to anxiety are marked ""A"" and to depression ""D"". The score for each answer is given in the right column. Instruct the patient to answer how it currently describes their feelings.",radio,"A I feel tense or 'wound up':","3, 3 Most of the time | 2, 2 A lot of the time | 1, 1 From time to time, occasionally | 0, 0 Not at all",,,,,,,,,,,,
hads_2d,hads,,radio,"D I still enjoy the things I used to enjoy:","0, 0 Definitely as much | 1, 1 Not quite so much | 2, 2 Only a little | 3, 3 Hardly at all",,,,,,,,,,,,
hads_3a,hads,,radio,"A I get a sort of frightened feeling as if something awful is about to happen:","3, 3 Very definitely and quite badly | 2, 2 Yes, but not too badly | 1, 1 A little but it doesn't worry me | 0, 0  Not at all",,,,,,,,,,,,
hads_4d,hads,,radio,"D I can laugh and see the funny side of things:","0, 0 As much as I always could | 1, 1 Not quite so much now | 2, 2 Definitely not so much now | 3, 3 Not at all",,,,,,,,,,,,
hads_5a,hads,,radio,"A Worrying thoughts go through my mind:","3, 3 A great deal of the time | 2, 2 A lot of the time | 1, 1 From time to time, but not too often | 0, 0 Only occasionally",,,,,,,,,,,,
hads_6d,hads,,radio,"D I feel cheerful:","3, 3 Not at all | 2, 2 Not often | 1, 1 Sometimes | 0, 0 Most of the time",,,,,,,,,,,,
hads_7a,hads,,radio,"A I can sit at ease and feel relaxed:","0, 0 Definitely | 1, 1 Usually | 2, 2 Not often | 3, 3 Not at all",,,,,,,,,,,,
hads_8d,hads,,radio,"D I feel as if I am slowed down:","3, 3 Nearly all the time | 2, 2 Very often | 1, 1 Sometimes | 0, 0 Not at all",,,,,,,,,,,,
hads_9a,hads,,radio,"A I get a sort of frightened feeling like 'butterflies' in the stomach:","0, 0 Not at all | 1, 1 Occasionally | 2, 2 Quite often | 3, 3 Very often",,,,,,,,,,,,
hads_10d,hads,,radio,"D I have lost interest in my appearance:","3, 3 Definitely | 2, 2 I don't take as much care as I should | 1, 1 I may not take quite as much care | 0, 0 I take just as much care as ever",,,,,,,,,,,,
hads_11a,hads,,radio,"A I feel restless as if I have to be on the move:","3, 3 Very much indeed | 2, 2 Quite a lot | 1, 1 Not very much | 0, 0 Not at all",,,,,,,,,,,,
hads_12d,hads,,radio,"D I look forward with enjoyment to things:","0, 0 As much as I ever did | 1, 1 Rather less than I used to | 2, 2 Definitely less than I used to | 3, 3 Hardly at all",,,,,,,,,,,,
hads_13a,hads,,radio,"A I get sudden feelings of panic:","3, 3 Very often indeed | 2, 2 Quite often | 1, 1 Not very often | 0, 0 Not at all",,,,,,,,,,,,
hads_14d,hads,,radio,"D I can enjoy a good book or radio or TV program:","0, 0 Often | 1, 1 Sometimes | 2, 2 Not often | 3, 3 Very seldom",,,,,,,,,,,,
hads_anx,hads,"Scoring (add the As = Anxiety. Add the Ds = Depression). The norms below will give you an idea of the level of Anxiety and Depression.  0-7 = Normal  8-10 = Borderline abnormal  11-21 = Abnormal",text,"Anxiety Score",,,number,0,21,,,,,,,,
hads_dep,hads,,text,"Depression Score",,,number,0,21,,,,,,,,
aes_1,aesc,,radio,"1. S/he is interested in things. ","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_2,aesc,,radio,"2. S/he gets things done during the day.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_3,aesc,,radio,"3. Getting things started on his/her own is important to him/her.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_4,aesc,,radio,"4. S/he is interested in having new experiences.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_5,aesc,,radio,"5. S/he is interested in learning new things.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_6,aesc,,radio,"6. S/he puts little effort into anything.","1, 1 Not at all | 2, 2 Slightly | 3, 3 Somewhat | 4, 4 A lot",,,,,,,,,,,,
aes_7,aesc,,radio,"7. S/he approaches life with intensity.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_8,aesc,,radio,"8. Seing a job through to the end is important to her/him.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_9,aesc,,radio,"9. S/he spends time doing things that interest her/him.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_10,aesc,,radio,"10. Someone has to tell her/him what to do each day.","1, 1 Not at all | 2, 2 Slightly | 3, 3 Somewhat | 4, 4 A lot",,,,,,,,,,,,
aes_11,aesc,,radio,"11. S/he is less concerned about her/his problems than s/he should be.","1, 1 Not at all | 2, 2 Slightly | 3, 3 Somewhat | 4, 4 A lot",,,,,,,,,,,,
aes_12,aesc,,radio,"12. S/he has friends.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_13,aesc,,radio,"13. Getting together with friends is important to her/him.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_14,aesc,,radio,"14. When something good happens, s/he gets excited.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_15,aesc,,radio,"15. S/he has an accurate understanding of her/his problems. ","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_16,aesc,,radio,"16. Getting things done during the day is important to her/him.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_17,aesc,,radio,"17. S/he has initiative.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_18,aesc,,radio,"18. S/he has motivation.","1, 4 Not at all | 2, 3 Slightly | 3, 2 Somewhat | 4, 1 A lot",,,,,,,,,,,,
aes_score,aesc,,text,"Total AES-C Score",,,number,18,72,,,,,,,,
pdq_1p,pdq39,"Due to having Parkinson's disease, how often during the last MONTH have you....",radio,"1. Had difficulty doing the leisure activities which you would like to do?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_2p,pdq39,,radio,"2. Had difficulty looking after your home, e.g. DIY, housework, cooking?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_3p,pdq39,,radio,"3. Had difficulty carrying shopping bags?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_4p,pdq39,,radio,"4. Had problems walking half a mile?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_5p,pdq39,,radio,"5. Had problems walking 100 yards","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_6p,pdq39,,radio,"6. Had problems getting around the house as easily as you would like?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_7p,pdq39,,radio,"7. Had difficulty getting around in public?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_8p,pdq39,,radio,"8. Needed someone else to accompany you when you went out?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_9p,pdq39,,radio,"9. Felt frightened or worried about falling over in public?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_10p,pdq39,,radio,"10. Been confined to the house more than you would like?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_11p,pdq39,,radio,"11. Had difficulty washing yourself?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_12p,pdq39,,radio,"12. Had difficulty dressing yourself?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_13p,pdq39,,radio,"13. Had problems doing up your shoe laces?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_14p,pdq39,,radio,"14. Had problems writing clearly?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_15p,pdq39,,radio,"15. Had difficulty cutting up your food?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_16p,pdq39,,radio,"16. Had difficulty holding a drink without spilling it?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_17p,pdq39,,radio,"17. Felt depressed?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_18p,pdq39,,radio,"18. Felt isolated and lonely?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_19p,pdq39,,radio,"19. Felt weepy or tearful?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_20p,pdq39,,radio,"20. Felt angry or bitter?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_21p,pdq39,,radio,"21. Felt anxious?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_22p,pdq39,,radio,"22. Felt worried about your future?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_23p,pdq39,,radio,"23. Felt you had to conceal your Parkinson's from people?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_24p,pdq39,,radio,"24. Avoided situations which involve eating or drinking in public?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_25p,pdq39,,radio,"25. Felt embarrassed in public due to having Parkinson's disease?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_26p,pdq39,,radio,"26. Felt worried by other people's reaction to you?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_27p,pdq39,,radio,"27. Had problems with your close personal relationships?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_28p,pdq39,,radio,"28. Lacked support in the ways you need from spouse or partner?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_29p,pdq39,,radio,"29. Lacked support in the ways you need from your family or close friends?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_30p,pdq39,,radio,"30.Unexpectedly fallen asleep during the day?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_31p,pdq39,,radio,"31. Had problems with your concentration, e.g. when reading or watching TV?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_32p,pdq39,,radio,"32. Felt your memory was bad?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_33p,pdq39,,radio,"33. Had distressing dreams or hallucinations?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_34p,pdq39,,radio,"34. Had difficulty with your speech?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_35p,pdq39,,radio,"35. Felt unable to communicate with people properly?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_36p,pdq39,,radio,"36. Felt ignored by people?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_37p,pdq39,,radio,"37. Had painful muscle cramps or spasms?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_38p,pdq39,,radio,"38. Had aches and pains in your joints or body?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_39p,pdq39,,radio,"39. Felt unpleasantly hot or cold?","0, 0 Never | 1, 1 Occasionally | 2, 2 Sometimes | 3, 3 Often | 4, 4 Always",,,,,,,,,,,,
pdq_mob,pdq39,,calc,"Mobility sub-score (#1-10)","(([pdq_1p] + [pdq_2p] + [pdq_3p] + [pdq_4p]  + [pdq_5p] + [pdq_6p] + [pdq_7p] + [pdq_8p]  + [pdq_9p] + [pdq_10p])/40)*100",,,,,,,,,,,,
pdq_adl,pdq39,,calc,"ADL sub-score (#11-16)","(([pdq_11p] + [pdq_12p] + [pdq_13p] + [pdq_14p]  + [pdq_15p] + [pdq_16p])/24)*100",,,,,,,,,,,,
pdq_emot,pdq39,,calc,"Emotional sub-score (#17-22)","(([pdq_17p] + [pdq_18p] + [pdq_19p] + [pdq_20p]  + [pdq_21p] + [pdq_22p])/24)*100",,,,,,,,,,,,
pdq_stigma,pdq39,,calc,"Stigma sub-score (#23-26)","(([pdq_23p] + [pdq_24p] + [pdq_25p] + [pdq_26p])/16)*100",,,,,,,,,,,,
pdq_social,pdq39,,calc,"Social support sub-score (#27-29)","(([pdq_27p] + [pdq_28p] + [pdq_29p])/12)*100",,,,,,,,,,,,
pdq_cog,pdq39,,calc,"Cognition sub-score (#30-33)","(([pdq_30p] + [pdq_31p] + [pdq_32p] + [pdq_33p])/16)*100",,,,,,,,,,,,
pdq_comm,pdq39,,calc,"Communication sub-score (#34-36)","(([pdq_34p] + [pdq_35p] + [pdq_36p])/12)*100",,,,,,,,,,,,
pdq_discomfort,pdq39,,calc,"Bodily discomfort sub-score (#37-39)","(([pdq_37p] + [pdq_38p] + [pdq_39p])/12)*100",,,,,,,,,,,,
pdq_tot,pdq39,,calc,"Total PDQ-39 score","([pdq_mob] + [pdq_adl] + [pdq_emot] + [pdq_stigma] + [pdq_social] + [pdq_cog] + [pdq_comm] + [pdq_discomfort])/8",,,,,,,,,,,,
trails_a_time,trail_making_testb,,text,"Trails Part A Time (seconds)",,,integer,,,,,,,,,,
trails_b_time,trail_making_testb,,text,"Trails Part B Time (seconds) ",,,number,,,,,,,,,,
tmt_dc,trail_making_testb,,checkbox,"Check if task was discontinued prior to completion:","0, Yes",,,,,,,,,,,,
trails_bfroma,trail_making_testb,,text,"Trails B-A",,,integer,,,,,,,,,,
fas_tot,letter_fluency,"Condition 1: Letter Fluency",text,"Letter Fluency Total Correct Score (add correct response totals for all letters)",,,number,,,,,,,,,,
vf_zscore,letter_fluency,,text,"FAS z-score",,,number_2dp,,,,,,,,,,
vf_perc,letter_fluency,,text,"FAS %ile",,,number,,,,,,,,,,
cvlt_list_a1c,cvlt,"List A Immediate Free Recall",text,"Trial 1 Total Correct",,,number,,,,,,,,,,
cvlt_list_a1r,cvlt,,text,"Trial 1 z-score",,,number,,,,,,,,,,
cvlt_list_a2c,cvlt,,text,"Trail 2 Total Correct",,,number,,,,,,,,,,
cvlt_list_a2r,cvlt,,text,"Trial 2 z-score",,,number,,,,,,,,,,
cvlt_list_a3c,cvlt,,text,"Trail 3 Total Correct",,,number,,,,,,,,,,
cvlt_list_a3r,cvlt,,text,"Trial 3 z-score",,,number,,,,,,,,,,
cvlt_list_a4c,cvlt,,text,"Trail 4 Total Correct",,,number,,,,,,,,,,
cvlt_list_a4r,cvlt,,text,"Trial 4 z-score",,,number,,,,,,,,,,
cvlt_list_a5c,cvlt,,text,"Trail 5 Total Correct",,,number,,,,,,,,,,
cvlt_list_a5r,cvlt,,text,"Trial 5 z-score",,,number,,,,,,,,,,
cvlt_list_1to5,cvlt,,text,"Trial 1-5 Total Correct",,,number,,,,,,,,,,
cvlt_list_1to5t,cvlt,,text,"Trial 1-5 T-score",,,number,,,,,,,,,,
cvlt_listbc,cvlt,"List B Immediate Free Recall",text,"Trial B Total Correct",,,number,,,,,,,,,,
cvlt_listbz,cvlt,,text,"Trial B z-score",,,number,,,,,,,,,,
cvlt_short_free,cvlt,,text,"Short Delay Free Total",,,number,,,,,,,,,,
cvlt_short_free_z,cvlt,,text,"Short Delay Free z-score",,,,,,,,,,,,,
cvlt_shrt_cued_c,cvlt,,text,"Short Delay Cued Total",,,number,,,,,,,,,,
cvlt_short_cued_z,cvlt,,text,"Short Delay Cued z-score",,,,,,,,,,,,,
cvlt_long_free,cvlt,,text,"Long Delay Free Recall",,,,,,,,,,,,,
cvlt_long_free_z,cvlt,,text,"Long Delay Free Recall z-score",,,,,,,,,,,,,
cvlt_long_cued,cvlt,,text,"Long Delay Cued Recall",,,,,,,,,,,,,
cvlt_long_cued_z,cvlt,,text,"Long Delay Cued Recall z-score",,,,,,,,,,,,,
cvlt_semclstr,cvlt,,text,"Sem Clstr Raw",,,,,,,,,,,,,
cvlt_semclstr_z,cvlt,,text,"Sem Clstr z-score",,,,,,,,,,,,,
cvlt_serclstr,cvlt,,text,"Ser Clstr Bi",,,,,,,,,,,,,
cvlt_serclstr_z,cvlt,,text,"Ser Clstr Bi z-score",,,,,,,,,,,,,
cvlt_prim,cvlt,,text,"% Primacy Raw",,,,,,,,,,,,,
cvlt_prim_z,cvlt,,text,"% Primacy z-score",,,,,,,,,,,,,
cvlt_mid,cvlt,,text,"% Middle Raw",,,,,,,,,,,,,
cvlt_mid_z,cvlt,,text,"% Middle z-score",,,,,,,,,,,,,
cvlt_rec,cvlt,,text,"% Recency Raw",,,,,,,,,,,,,
cvlt_rec_z,cvlt,,text,"% Recency z-score",,,,,,,,,,,,,
svlt_lrng,cvlt,,text,"Lrng Slp 1-5 Raw",,,,,,,,,,,,,
cvlt_lrng_z,cvlt,,text,"Lrng Slp 1-5 z-score",,,,,,,,,,,,,
cvlt_cons,cvlt,,text,"Consistency Raw",,,,,,,,,,,,,
cvlt_cons_z,cvlt,,text,"Consistency z-score",,,,,,,,,,,,,
cvlt_rep,cvlt,,text,Repetitions,,,,,,,,,,,,,
cvlt_rep_z,cvlt,,text,"Repetitions z-score",,,,,,,,,,,,,
cvlt_intr,cvlt,,text,"Intrusions Raw",,,,,,,,,,,,,
cvlt_intr_z,cvlt,,text,"Instrusions z-score",,,,,,,,,,,,,
cvlt_rechits,cvlt,,text,"Rec Hits Raw",,,,,,,,,,,,,
cvlt_rechits_z,cvlt,,text,"Rec Hits z-score",,,,,,,,,,,,,
cvlt_recfp,cvlt,,text,"Rec FP Raw",,,,,,,,,,,,,
cvlt_recfp_z,cvlt,,text,"Rec FP z-score",,,,,,,,,,,,,
cvlt_recdis,cvlt,,text,"Rec Dis Raw",,,,,,,,,,,,,
cvlt_recdis_z,cvlt,,text,"Rec Dis z-score",,,,,,,,,,,,,
cvlt_fc,cvlt,,text,F/C,,,,,,,,,,,,,
figmem_vr1tot,figural_memory,,text,"VRI Total Raw Score",,,number,,,,,,,,,,
figmem_vr1age,figural_memory,,text,"VRI Age Scaled Score",,,number,,,,,,,,,,
figmem_vr1demot,figural_memory,,text,"VRI Demo %ile",,,number,,,,,,,,,,
figmem_vr2tot,figural_memory,,text,"VR2 Total Raw Score",,,number,,,,,,,,,,
figmem_vr2age,figural_memory,,text,"VR2 Age Scaled Score",,,number,,,,,,,,,,
